The SAS System,,,,,,,,,,
,,,,,,,,,,
Identification number,Length of stay,Age,Infection risk,Routine culturing,Routine chest X-ray,Number of beds,Medical school affiliation,Average daily census,Number of nurses,Available facilities
66,9.42,50.6,4.3,24.8,62.8,508,1,421,528,48.6
67,10.02,49.5,4.4,8.3,93,265,1,191,202,48.6
68,8.58,55,3.7,7.4,95.9,304,1,248,218,48.6
69,9.61,52.4,4.5,6.9,87.2,487,1,404,220,48.6
70,8.03,54.2,3.5,24.3,87.3,97,1,65,55,28.6
71,7.39,51,4.2,14.6,88.4,72,1,38,67,28.6
72,7.08,52,2,12.3,56.4,87,1,52,57,28.6
73,9.53,51.5,5.2,15,65.7,298,1,241,193,48.6
74,10.05,52,4.5,36.7,87.5,184,0,144,151,68.6
75,8.45,38.8,3.4,12.9,85,235,1,143,124,48.6
76,6.7,48.6,4.5,13,80.8,76,1,51,79,28.6
77,8.9,49.7,2.9,12.7,86.9,52,1,37,35,28.6
78,10.23,53.2,4.9,9.9,77.9,752,0,595,446,68.6
79,8.88,55.8,4.4,14.1,76.8,237,1,165,182,48.6
80,10.3,59.6,5.1,27.8,88.9,175,1,113,73,45.7
81,10.79,44.2,2.9,2.6,56.6,461,0,320,196,65.7
82,7.94,49.5,3.5,6.2,92.3,195,1,139,116,45.7
83,7.63,52.1,5.5,11.6,61.1,197,1,109,110,45.7
84,8.77,54.5,4.7,5.2,47,143,1,85,87,25.7
85,8.09,56.9,1.7,7.6,56.9,92,1,61,61,45.7
86,9.05,51.2,4.1,20.5,79.8,195,1,127,112,45.7
87,7.91,52.8,2.9,11.9,79.5,477,1,349,188,65.7
88,10.39,54.6,4.3,14,88.3,353,1,223,200,65.7
89,9.36,54.1,4.8,18.3,90.6,165,1,127,158,45.7
90,11.41,50.4,5.8,23.8,73,424,0,359,335,45.7
91,8.86,51.3,2.9,9.5,87.5,100,1,65,53,25.7
92,8.93,56,2,6.2,72.5,95,1,59,56,25.7
93,8.92,53.9,1.3,2.2,79.5,56,1,40,14,5.7
94,8.15,54.9,5.3,12.3,79.8,99,1,55,71,25.7
95,9.77,50.2,5.3,15.7,89.7,154,1,123,148,25.7
96,8.54,56.1,2.5,27,82.5,98,1,57,75,45.7
97,8.66,52.8,3.8,6.8,69.5,246,1,178,177,45.7
98,12.01,52.8,4.8,10.8,96.9,298,1,237,115,45.7
99,7.95,51.8,2.3,4.6,54.9,163,1,128,93,42.9
100,10.15,51.9,6.2,16.4,59.2,568,0,452,371,62.9
101,9.76,53.2,2.6,6.9,80.1,64,1,47,55,22.9
102,9.89,45.2,4.3,11.8,108.7,190,1,141,112,42.9
103,7.14,57.6,2.7,13.1,92.6,92,1,40,50,22.9
104,13.95,65.9,6.6,15.6,133.5,356,1,308,182,62.9
105,9.44,52.5,4.5,10.9,58.5,297,1,230,263,42.9
106,10.8,63.9,2.9,1.6,57.4,130,1,69,62,22.9
107,7.14,51.7,1.4,4.1,45.7,115,1,90,19,22.9
108,8.02,55,2.1,3.8,46.5,91,1,44,32,22.9
109,11.8,53.8,5.7,9.1,116.9,571,0,441,469,62.9
110,9.5,49.3,5.8,42,70.9,98,1,68,46,22.9
111,7.7,56.9,4.4,12.2,67.9,129,1,85,136,62.9
112,17.94,56.2,5.9,26.4,91.8,835,0,791,407,62.9
113,9.41,59.5,3.1,20.6,91.7,29,1,20,22,22.9
